Gal,Reff
NGC1218                     ,8.1
NGC1291                     ,14.1
NGC1300                     ,21.1
NGC1326                     ,10.9
NGC1433                     ,12.6
NGC1512                     ,16.8
NGC1705                     ,8.9
NGC2207                     ,18.4
NGC3311                     ,16.3
NGC3351                     ,14.7
NGC4371                     ,12.7
NGC4945                     ,25.5
NGC5102                     ,16.4
NGC5248                     ,16.5
NGC5850                     ,14.3
NGC6810                     ,15.3
NGC838                      ,7.5
NGC1300                     ,18.9
NGC1396                     ,10.4
LEDA581422                  ,2.4
NGC2466                     ,14.7
UGC9841                     ,18.6
UGC9841                     ,18.6
6dFGSgJ004705.6-520301      ,10.3
ESO194-39                   ,8.2
ESO509-66                   ,3.9
ESO509-66                   ,4.6
ESO512-19                   ,18.9
ESO512-18                   ,10.9
2MASXJ20010526-4703340      ,8.5
NGC6845                     ,13.7
ESO402-9                    ,6.0
ESO402-10                   ,9.7
NGC0628                     ,19.0
NGC0628                     ,19.0
NGC0628                     ,19.0
NGC0628                     ,19.0
ESO097-013                  ,45.3
NGC7582                     ,39.1
2MASXJ21040812-4335295      ,2.0
ESO286-35                   ,10.0
NGC5920                     ,10.9
NGC7237                     ,10.2
3C75A                       ,4.2
2MFGC2709                   ,7.8
UGC9799                     ,12.0
ESO-LV541-0092              ,6.1
ESO469-11                   ,13.0
ESO240-3                    ,15.3
MCG-02-01-052               ,18.4
2MASXJ11445486+1946349      ,6.8
LEDA166152                  ,14.3
ESO185-53                   ,11.6
ESO244-12                   ,11.9
ESO320-14                   ,19.0
ESO321-14                   ,22.2
ESO325-4                    ,7.4
ESO339-11                   ,9.2
ESO353-20                   ,13.7
ESO379-7                    ,19.7
ESO379-24                   ,9.2
ESO440-58                   ,4.1
MCG-05-29-017               ,8.2
MCG-06-08-024               ,7.4
NGC1419                     ,5.3
MCG-01-25-008               ,7.5
ESO461-7                    ,8.1
MCG-05-47-003               ,6.4
NGC6977                     ,12.2
NGC7174                     ,11.9
NGC7173                     ,6.7
Mrk1018                     ,7.1
MCG-02-35-001               ,9.9
Mrk926                      ,6.3
IC1365                      ,13.8
IC1623                      ,7.7
IC4687                      ,11.6
IC4870                      ,14.8
PKS0000-550                 ,6.0
ESO440-25                   ,6.3
ESO384-7                    ,6.1
2MFGC12131                  ,5.7
NGC6768                     ,10.1
IC1386                      ,7.2
2MFGC10795                  ,10.2
ESO467-62                   ,11.4
ESO349-9                    ,15.0
LEDA592761                  ,13.2
NGC863                      ,9.8
NGC4325                     ,8.4
NGC0034                     ,6.5
NGC1587                     ,6.8
NGC2915                     ,11.8
NGC2960                     ,1.1
NGC3091                     ,8.5
NGC4496A                    ,21.1
NGC5010                     ,12.8
NGC5328                     ,10.4
NGC6658                     ,9.7
NGC677                      ,4.0
2MASXJ11101963-0008342      ,3.1
PGC003342                   ,12.6
PGC004500                   ,9.4
PGC0047590                  ,8.8
PGC007748                   ,8.3
PGC018236                   ,10.7
PGC046832                   ,9.8
PGC047154                   ,5.3
PGC047177                   ,7.2
PGC047467                   ,11.2
PGC065588                   ,9.9
PGC097958                   ,6.2
PGC098792                   ,10.8
PGC099188                   ,10.0
PGC099522                   ,7.5
PGC29334                    ,9.7
2MASXJ13532657-2754070      ,7.1
ESO364-18                   ,7.5
NGC92                       ,13.2
NGC89                       ,13.8
NGC88                       ,7.3
NGC3023                     ,15.7
2MASXJ09590327+1302211      ,4.1
MCG+02-26-012               ,3.4
MCG+02-26-011               ,14.4
SDSSJ095912.19+130410.5     ,3.1
MCG+02-29-005               ,11.0
UGC6233                     ,8.2
UGC9252                     ,16.4
UGC10023                    ,16.5
ESO271-26                   ,4.0
ESO271-26                   ,4.0
ESO286-22                   ,2.0
UGC11551                    ,21.4
UGC11551                    ,21.4
ESO338-4                    ,6.0
ESO338-4                    ,6.0
ESO338-4                    ,6.0
3C75B                       ,4.6
MCG-07-03-013               ,6.5
